"name","group","element","units","context","S508245","S508247","S508246","S508249","S508248","S508250","S508251","S508253","S508252","S508255","S508254","S508256","S508258","S508257","S508259","S508262","S508261","S508260","S508263","S508264","S508265","S508266","S508267","S508268","S508270","S508269","S508271","S508273","S508275","S508272","S508274","S508276","S508277","S508278","S508279","S508281","S508280","S508282","S508284","S508283","S508285","S508287","S508286","S508288","S508289","S508290","S508291","S508292","S508293","S508294","S508296","S508295","S508297","S508298","S508299","S508300","S508301","S508302","S508303","S508306","S508307","S508305","S508304","S508308","S508309","S508310","S508311","S508312","S508313","S508315","S508314","S508316","S508318","S508317","S508319","S508321","S508320","S508322","S508323","S508324","S508325","S508326","S508327","S508328","S508329","S508330","S508331","S508332","S508333","S508334","S508335","S508336","S508337","S508338","S508340","S508339","S508341","S508342","S508343","S508344","S508345","S508346","S508347","S508348","S508349","S508351","S508350","S508354","S508352","S508353","S508355","S508356","S508357","S508358","S508359","S508360","S508361","S508362","S508363","S508364","S508365","S508366","S508367","S508369","S508368","S508370","S508371","S508372","S508373","S508375","S508374","S508376","S508377","S508378","S508379","S508380","S508381","S508382","S508383","S508384"
Botrychium,VACR,spore,NISP,,,,,,,,1,2,,,2,,2,2,1,,,2,,1,2,1,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,2,3,2,3,1,1,,2,1,,1,3,4,1,1,2,,,1,1,,,,1,,1,,,,1,2,1,1,,,,1,,1,1,1,2,,3,1,1,2,,3,2,1,2,1,1,1,1,1,4,4,5,3,1,1,4,4,4,4,2,4,3,,4,2,1,5,,2,2,5,1,6,5,2,4,4,1,4,2,1,3,5,3,2,1,1,,1,4,4,2,1,1,4,3,5,1,5,4,3,3,4,2,,1,1,2,1,,1,1,2,1,1,,2,,2,3,6,2,2,1,1,,2,,5,,,2
Buxus,TRSH,pollen,NISP,,1,2,1,1,,,,,2,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,1,1,2,,,,,1,2,,,,,1,,,,1,,,,1,1,,,1,1,1,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Campanulaceae,UPHE,pollen,NISP,,1,,,1,,4,1,,,1,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,1,,1,4,2,1,,,,1,,,,,,3,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,2,,1,,,,1,1,2,1,1,,2,1,,1,,,,,,,1,,1,,1,,,,,1,,,,,,1,,,,,,
Cardueae,UPHE,pollen,NISP,,1,1,,3,,1,,1,,2,,,2,,,,,,,,1,,1,1,,,,,,,,1,,,,1,2,,,2,,1,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,1,,,2,1,,1,,,,,,,,,,,,1,,1,,1,,1,,2,,1,,1,,1,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Carpinus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,1,,1,,,1,4,1,,1,2,2,,1,2,1,1,4,1,3,1,,2,3,1,,,,1,1,,,,,,,3,1,4,1,,1,1,2,,3,1,1,1,2,,2,1,2,1,1,1,2,1,2,1,1,1,2,,5,3,1,1,,2,1,2,3,,5,1,5,2,4,1,7,,3,3,4,4,,4,1,1,2,3,3,,1,2,4,2,,2,2,1,2,,1,,1,2,1,,,,,,1,,2,,,1,1,,,,2,,3,1,,,5,5,1,4,,6,4,5
Castanea,TRSH,pollen,NISP,,2,1,4,4,2,1,1,,4,2,1,,,,,,,,,,2,2,1,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea,UPHE,pollen,NISP,,,,,,2,,,3,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,1,,1,,,,,2,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Cichorioideae,UPHE,pollen,NISP,,,2,1,7,2,1,5,4,3,10,15,1,3,2,5,,2,3,1,6,2,,2,2,4,2,2,4,6,4,7,1,2,2,2,2,5,3,5,5,4,11,5,4,,3,1,,1,,,2,,,2,,,,,,,,,,,2,1,4,,1,1,6,,,,2,2,1,2,1,,1,,1,,1,5,3,,1,2,5,1,8,5,4,6,10,11,7,4,3,1,2,1,,4,3,3,3,1,1,,2,1,,,,,,2,,,1,3,2,1,2,1,,,4,,,2,1,,,,1
